PMID_PUBMED	DOI_PUBMED_NORM	PUBMED	id	DOI_AOU_NORM	AOU	MERGED_BY_PMID	PMID_AOU	MERGED_BY_DOI
28969705	10.1186/S12967-017-1296-3	1	unige:107538	10.1186/S12967-017-1296-3	1	0	19889212	1
35567560	10.1093/EURHEARTJ/EHAC143	1	unige:161147	0	1	0	35325132	1
