id	structure
unige:167489	Groupe de physique appliquée
unige:167489	Institut des sciences de l'environnement
unige:167491	Département de géographie et environnement
unige:167491	Institut des sciences de l'environnement
unige:167496	Groupe de physique appliquée
unige:167498	Département de traitement informatique multilingue
unige:167506	Section de psychologie
unige:167516	Département des sciences de l'antiquité
unige:167517	Département de philosophie
unige:167518	Section des sciences de l'éducation
unige:167519	Département d'histoire de l'art et de musicologie
unige:167520	Département d'histoire de l'art et de musicologie
unige:167521	Centre interfacultaire en droits de l'enfant
unige:167522	Section des sciences de l'éducation
unige:167523	Section des sciences de l'éducation
unige:167523	Institut universitaire de formation des enseignants
unige:167524	Section des sciences de l'éducation
unige:167524	Institut universitaire de formation des enseignants
unige:167525	Section des sciences de l'éducation
unige:167525	Institut universitaire de formation des enseignants
unige:167526	Section des sciences de l'éducation
unige:167526	Institut universitaire de formation des enseignants
unige:167527	Section des sciences de l'éducation
unige:167527	Institut universitaire de formation des enseignants
unige:167528	Section des sciences de l'éducation
unige:167528	Institut universitaire de formation des enseignants
unige:167529	Section des sciences de l'éducation
unige:167529	Institut universitaire de formation des enseignants
unige:167530	Section des sciences de l'éducation
unige:167530	Institut universitaire de formation des enseignants
unige:167531	Section des sciences de l'éducation
unige:167531	Institut universitaire de formation des enseignants
unige:167532	Section des sciences de l'éducation
unige:167532	Institut universitaire de formation des enseignants
unige:167533	Section des sciences de l'éducation
unige:167533	Institut universitaire de formation des enseignants
unige:167534	Département d'histoire de l'art et de musicologie
unige:167535	Division du système et des technologies de l'information et de la communication
unige:167535	Humanités numériques
unige:167536	Section des sciences de l'éducation
unige:167536	Institut universitaire de formation des enseignants
unige:167537	Section des sciences de l'éducation
unige:167537	Institut universitaire de formation des enseignants
unige:167540	Division du système et des technologies de l'information et de la communication
unige:167540	Humanités numériques
unige:167540	Faculté des sciences
unige:167541	Section des sciences de l'éducation
unige:167541	Institut universitaire de formation des enseignants
unige:167542	Section des sciences de l'éducation
unige:167542	Institut universitaire de formation des enseignants
unige:167543	Département de chimie organique
unige:167544	Département de chimie organique
unige:167545	Département de chimie physique
unige:167550	Section des sciences de l'éducation
unige:167554	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167555	Département de physique de la matière quantique
unige:167556	Département de physique de la matière quantique
unige:167559	Département d'interprétation
unige:167560	Faculté d'économie et de management
unige:167560	Section des sciences de l'éducation
unige:167561	Faculté d'économie et de management
unige:167561	Section des sciences de l'éducation
unige:167562	Section des sciences de l'éducation
unige:167562	Institut universitaire de formation des enseignants
unige:167563	Section des sciences de l'éducation
unige:167563	Institut universitaire de formation des enseignants
unige:167564	Section des sciences de l'éducation
unige:167564	Institut universitaire de formation des enseignants
unige:167565	Groupe de physique appliquée
unige:167580	Département de chimie organique
unige:167581	Département de chimie organique
unige:167582	Département de chimie organique
unige:167598	Département de traduction
unige:167599	Département de traduction
unige:167600	Département de traduction
unige:167601	Département de traduction
unige:167602	Global Studies Institute
unige:167603	Global Studies Institute
unige:167604	Institut d'études de la citoyenneté
unige:167604	Département de science politique et relations internationales
unige:167610	Département de chimie minérale, analytique et appliquée
unige:167614	Département de chimie physique
unige:167615	Département de géographie et environnement
unige:167619	Département de droit civil
unige:167620	Département de droit international public et organisation internationale
unige:167621	Département de droit international public et organisation internationale
unige:167622	Département de droit international public et organisation internationale
unige:167623	Département de droit international public et organisation internationale
unige:167624	Département de droit pénal
unige:167625	Département de droit international public et organisation internationale
unige:167626	Département de droit international public et organisation internationale
unige:167627	Département de droit international public et organisation internationale
unige:167629	Section de psychologie
unige:167630	Section de psychologie
unige:167631	Section de psychologie
unige:167632	Section de psychologie
unige:167633	Section de psychologie
unige:167634	Section de psychologie
unige:167635	Section de psychologie
unige:167636	Section de psychologie
unige:167640	Section de psychologie
unige:167641	Section de psychologie
unige:167642	Section de psychologie
unige:167643	Section de psychologie
unige:167644	Institut de la gouvernance de l'environnement et du développement territorial
unige:167645	Département de géographie et environnement
unige:167646	Section de psychologie
unige:167647	Section de psychologie
unige:167649	Section de psychologie
unige:167651	Département de géographie et environnement
unige:167652	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:167653	Département de sociologie
unige:167653	Institut de la gouvernance de l'environnement et du développement territorial
unige:167653	Institut de recherches sociologiques
unige:167654	Département de sociologie
unige:167654	Institut de la gouvernance de l'environnement et du développement territorial
unige:167654	Institut de recherches sociologiques
unige:167655	Département de sociologie
unige:167655	Institut de la gouvernance de l'environnement et du développement territorial
unige:167655	Institut de recherches sociologiques
unige:167656	Département de sociologie
unige:167656	Institut de la gouvernance de l'environnement et du développement territorial
unige:167656	Institut de recherches sociologiques
unige:167657	Département de sociologie
unige:167657	Institut de la gouvernance de l'environnement et du développement territorial
unige:167657	Institut de recherches sociologiques
unige:167658	Global Studies Institute
unige:167658	Département de science politique et relations internationales
unige:167659	Département d'études est-asiatiques
unige:167660	Département d'études est-asiatiques
unige:167661	Département d'études est-asiatiques
unige:167662	Département d'études est-asiatiques
unige:167672	Département de sociologie
unige:167673	Département de langue et de littérature françaises modernes
unige:167675	Département de droit pénal
unige:167676	Département de droit public
unige:167677	Département de droit public
unige:167678	Département de droit public
unige:167680	Département de géographie et environnement
unige:167680	Institut de la gouvernance de l'environnement et du développement territorial
unige:167681	Institut de la gouvernance de l'environnement et du développement territorial
unige:167681	Département de géographie et environnement
unige:167681	Institut des sciences de l'environnement
unige:167682	Faculté de droit
unige:167684	Faculté de droit
unige:167687	Département de droit public
unige:167688	Département de droit public
unige:167689	Faculté de droit
unige:167690	Institute of Economics and Econometrics
unige:167691	Département d'histoire, économie et société
unige:167691	Institut d'histoire économique Paul Bairoch
unige:167692	Département de science politique et relations internationales
unige:167693	Ecole d'avocature
unige:167694	Faculté de droit
unige:167695	Ecole d'avocature
unige:167696	Ecole d'avocature
unige:167700	Ecole d'avocature
unige:167702	Département des langues et des littératures françaises et latines médiévales
unige:167703	Institut des études genre
unige:167703	Département des langues et des littératures françaises et latines médiévales
unige:167704	Institut Confucius
unige:167704	Département d'études est-asiatiques
unige:167707	Département de langue et de littérature françaises modernes
unige:167708	Section de psychologie
unige:167709	Faculté autonome de théologie protestante
unige:167710	Section de psychologie
unige:167711	Faculté autonome de théologie protestante
unige:167713	Institut de la gouvernance de l'environnement et du développement territorial
unige:167716	Institut universitaire de formation des enseignants
unige:167717	Section des sciences de l'éducation
unige:167718	Section des sciences de l'éducation
unige:167719	Section des sciences de l'éducation
unige:167720	Section des sciences de l'éducation
unige:167721	Section des sciences de l'éducation
unige:167722	Section des sciences de l'éducation
unige:167723	Section des sciences de l'éducation
unige:167724	Section des sciences de l'éducation
unige:167725	Département de traitement informatique multilingue
unige:167726	Section des sciences de l'éducation
unige:167727	Section des sciences de l'éducation
unige:167728	Section des sciences de l'éducation
unige:167729	Institut universitaire de formation des enseignants
unige:167729	Section des sciences de l'éducation
unige:167730	Institut universitaire de formation des enseignants
unige:167730	Section des sciences de l'éducation
unige:167731	Section des sciences de l'éducation
unige:167732	Section de psychologie
unige:167733	Section de psychologie
unige:167734	Section de psychologie
unige:167735	Section de psychologie
unige:167736	Section de psychologie
unige:167737	Section de psychologie
unige:167738	Section de psychologie
unige:167739	Section de psychologie
unige:167740	Section de psychologie
unige:167741	Section de psychologie
unige:167743	Département des sciences de la Terre
unige:167744	Centre interfacultaire en droits de l'enfant
unige:167745	Département de géographie et environnement
unige:167745	Institut des sciences de l'environnement
unige:167746	Institut de démographie et de socioéconomie
unige:167747	Département de sociologie
unige:167747	Institut de la gouvernance de l'environnement et du développement territorial
unige:167747	Institut de recherches sociologiques
unige:167748	Section des sciences de l'éducation
unige:167749	Section de psychologie
unige:167750	Section de psychologie
unige:167751	Section de psychologie
unige:167752	Section de psychologie
unige:167753	Section de psychologie
unige:167754	Département de chimie organique
unige:167755	Département de chimie organique
unige:167756	Département de chimie organique
unige:167761	Technologies de formation et apprentissage
unige:167762	Technologies de formation et apprentissage
unige:167765	Section de physique
unige:167768	Institut des études genre
unige:167772	Département de géologie et de paléontologie
unige:167772	Département des sciences de la Terre
unige:167775	Département de chimie organique
unige:167776	Département de chimie organique
unige:167777	Département de chimie organique
unige:167779	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167779	Institut des sciences de l'environnement
unige:167780	Division du système et des technologies de l'information et de la communication
unige:167780	Division de l'information scientifique
unige:167781	Institut d'histoire économique Paul Bairoch
unige:167782	Ecole d'avocature
unige:167784	Département d'informatique
unige:167785	Département de chimie organique
unige:167786	Département de chimie organique
unige:167787	Département des sciences de la Terre
unige:167788	Département des sciences de la Terre
unige:167789	Groupe de physique appliquée
unige:167791	Département de langue et de littérature allemandes
unige:167792	Département de langue et de littérature allemandes
unige:167793	Département de philosophie
unige:167794	Département de droit commercial
unige:167794	Département de droit civil
unige:167795	Ecole d'avocature
unige:167796	Ecole d'avocature
unige:167797	Ecole d'avocature
unige:167798	Ecole d'avocature
unige:167799	Département de philosophie
unige:167800	Ecole d'avocature
unige:167801	Département de traduction
unige:167802	Département de traduction
unige:167803	Département de traduction
unige:167804	Département de traduction
unige:167805	Département de traduction
unige:167806	Département de traduction
unige:167807	Département de traduction
unige:167808	Département de traduction
unige:167809	Centre universitaire d'informatique
unige:167809	Information Science Institute
unige:167810	Département de droit public
unige:167811	Département d'histoire du droit et des doctrines juridiques et politiques
unige:167812	Département d'histoire du droit et des doctrines juridiques et politiques
unige:167818	Département d'interprétation
unige:167823	Département d'interprétation
unige:167828	Département de chimie minérale, analytique et appliquée
unige:167829	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167830	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:167831	Département de physique de la matière quantique
unige:167832	Département de physique de la matière quantique
unige:167833	Département de physique nucléaire et corpusculaire
unige:167834	Institut des sciences de l'environnement
unige:167839	Institut de démographie et de socioéconomie
unige:167840	Département de traduction
unige:167841	Département de traitement informatique multilingue
unige:167842	Département de traduction
unige:167843	Département de traduction
unige:167844	Département de traduction
unige:167845	Département de traitement informatique multilingue
unige:167846	Département de traduction
unige:167847	Département de chimie minérale, analytique et appliquée
unige:167848	Département de chimie minérale, analytique et appliquée
unige:167851	Département de géologie et de paléontologie
unige:167851	Département des sciences de la Terre
unige:167852	Section de psychologie
unige:167853	Section de psychologie
unige:167854	Section de psychologie
unige:167855	Section de psychologie
unige:167856	Section de psychologie
unige:167857	Département de langue et de littérature anglaises
unige:167858	Département de géologie et de paléontologie
unige:167858	Département des sciences de la Terre
unige:167859	Institut de la gouvernance de l'environnement et du développement territorial
unige:167859	Institut des sciences de l'environnement
unige:167861	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:167862	Institut de la gouvernance de l'environnement et du développement territorial
unige:167862	Institut de recherches sociologiques
unige:167862	Département de sociologie
unige:167863	Institut des études genre
unige:167864	Département de géographie et environnement
unige:167865	Département de géographie et environnement
unige:167866	Département de physique nucléaire et corpusculaire
unige:167867	Département de géographie et environnement
unige:167867	Institut de la gouvernance de l'environnement et du développement territorial
unige:167868	Institut des sciences de l'environnement
unige:167868	Institut de la gouvernance de l'environnement et du développement territorial
unige:167868	Institut de recherches sociologiques
unige:167868	Département de sociologie
unige:167869	Institut de recherches sociologiques
unige:167869	Institut de la gouvernance de l'environnement et du développement territorial
unige:167870	Institut de recherches sociologiques
unige:167871	Institut de recherches sociologiques
unige:167871	Département de sociologie
unige:167872	Institut de recherches sociologiques
unige:167872	Département de sociologie
unige:167873	Institut de recherches sociologiques
unige:167873	Département de sociologie
unige:167887	Département de droit international privé
unige:167888	Département de droit international public et organisation internationale
unige:167889	Institut de démographie et de socioéconomie
unige:167890	Institut de démographie et de socioéconomie
unige:167891	Institut de la gouvernance de l'environnement et du développement territorial
unige:167891	Institut de recherches sociologiques
unige:167891	Département de sociologie
unige:167892	Institut des sciences de l'environnement
unige:167892	Institut de recherches sociologiques
unige:167892	Département de sociologie
unige:167892	Institut de la gouvernance de l'environnement et du développement territorial
unige:167893	Institut de la gouvernance de l'environnement et du développement territorial
unige:167893	Institut de recherches sociologiques
unige:167893	Département de sociologie
unige:167895	Département de sociologie
unige:167895	Institut de recherches sociologiques
unige:167895	Institut de la gouvernance de l'environnement et du développement territorial
unige:167896	Institut de la gouvernance de l'environnement et du développement territorial
unige:167896	Institut de recherches sociologiques
unige:167896	Département de sociologie
unige:167898	Institut de recherches sociologiques
unige:167898	Département de sociologie
unige:167898	Institut de la gouvernance de l'environnement et du développement territorial
unige:167899	Département de droit international privé
unige:167900	Département de géologie et de paléontologie
unige:167900	Département des sciences de la Terre
unige:167901	Département de géologie et de paléontologie
unige:167901	Département des sciences de la Terre
unige:167902	Département de droit international public et organisation internationale
unige:167903	Ecole d'avocature
unige:167904	Ecole d'avocature
unige:167905	Ecole d'avocature
unige:167906	Département de chimie organique
unige:167907	Département de chimie organique
unige:167908	Département de chimie organique
unige:167909	Département de chimie organique
unige:167910	Département de chimie organique
unige:167911	Département de chimie organique
unige:167912	Département de chimie organique
unige:167913	Département de chimie organique
unige:167914	Département de chimie organique
unige:167915	Département de chimie organique
unige:167916	Département de chimie organique
unige:167917	Groupe de physique appliquée
unige:167918	Section des sciences de l'éducation
unige:167919	Département de traduction
unige:167920	Département de traduction
unige:167921	Département de traitement informatique multilingue
unige:167922	Département de traduction
unige:167923	Département de traduction
unige:167924	Département de traduction
unige:167925	Faculté de droit
unige:167927	Département des sciences de la Terre
unige:167929	Département de chimie organique
unige:167930	Département de chimie organique
unige:167930	Département de chimie physique
unige:167930	Département de chimie minérale, analytique et appliquée
unige:167931	Département de chimie organique
unige:167932	Département de chimie organique
unige:167932	Département de chimie physique
unige:167933	Département de droit international privé
unige:167934	Département de langues et littératures romanes
unige:167936	Ecole d'avocature
unige:167937	Ecole d'avocature
unige:167938	Ecole d'avocature
unige:167939	Groupe de physique appliquée
unige:167940	Groupe de physique appliquée
unige:167941	Groupe de physique appliquée
unige:167942	Technologies de formation et apprentissage
unige:167943	Technologies de formation et apprentissage
unige:167944	Technologies de formation et apprentissage
unige:167945	Technologies de formation et apprentissage
unige:167946	Section des sciences de l'éducation
unige:167947	Institut des sciences de l'environnement
unige:167948	Section des sciences de l'éducation
unige:167949	Section des sciences de l'éducation
unige:167950	Section des sciences de l'éducation
unige:167951	Section des sciences de l'éducation
unige:167952	Section des sciences de l'éducation
unige:167953	Section des sciences de l'éducation
unige:167954	Section des sciences de l'éducation
unige:167955	Section des sciences de l'éducation
unige:167955	Section de psychologie
unige:167956	Section des sciences de l'éducation
unige:167957	Section des sciences de l'éducation
unige:167958	Section des sciences de l'éducation
unige:167959	Section des sciences de l'éducation
unige:167960	Section des sciences de l'éducation
unige:167961	Section des sciences de l'éducation
unige:167962	Département de langue et de littérature allemandes
unige:167964	Département de droit international privé
unige:167967	Global Studies Institute
unige:167968	Groupe de physique appliquée
unige:167968	Département de chimie physique
unige:167969	Département de science politique et relations internationales
unige:167970	Département de science politique et relations internationales
unige:167971	Département de science politique et relations internationales
unige:167972	Global Studies Institute
unige:167974	Département des sciences de la Terre
unige:167975	Département d'histoire, économie et société
unige:167977	Section de psychologie
unige:167978	Technologies de formation et apprentissage
unige:167979	Section de psychologie
unige:167980	Section de psychologie
unige:167981	Département d'histoire du droit et des doctrines juridiques et politiques
unige:167982	Département de droit international privé
unige:167983	Département de droit international privé
unige:167984	Institut de démographie et de socioéconomie
unige:167985	Département de géographie et environnement
unige:167986	Centre interfacultaire de bioéthique et sciences humaines en médecine
unige:167987	Département de sociologie
unige:167987	Institut de démographie et de socioéconomie
unige:167988	MediaLAB-Genève, Institut des sciences de la communication, des médias et du journalisme
unige:167989	Département de droit international privé
unige:167991	Département de sociologie
unige:167991	Institut de recherches sociologiques
unige:167992	Département de droit international privé
unige:167993	Département de sociologie
unige:167994	Département des langues et des littératures françaises et latines médiévales
unige:167994	Institut d'histoire de la réformation
unige:167995	Département de droit international privé
unige:167996	Département de droit international privé
unige:167997	Département de droit international privé
unige:167998	Centre interfacultaire de bioéthique et sciences humaines en médecine
unige:167999	Département de chimie organique
unige:168000	Département de chimie organique
unige:168001	Département de chimie organique
unige:168002	Département de chimie organique
unige:168003	Département de chimie organique
unige:168004	Département de chimie organique
unige:168005	Département de chimie organique
unige:168006	Département de chimie organique
unige:168007	Département de chimie organique
unige:168008	Département de chimie organique
unige:168009	Département de chimie organique
unige:168012	Département de chimie organique
unige:168013	Département de chimie organique
unige:168014	Département de chimie organique
unige:168015	Département des sciences de la Terre
unige:168016	Section de mathématiques
unige:168017	Section de mathématiques
unige:168018	Département de chimie physique
unige:168018	Section de mathématiques
unige:168022	Département F.-A. Forel des sciences de l'environnement et de l'eau
unige:168023	Section de mathématiques
unige:168024	Section de mathématiques
unige:168025	Section de mathématiques
unige:168026	Section de mathématiques
unige:168027	Section de mathématiques
unige:168028	Rectorat et administration
unige:168029	Département de géographie et environnement
unige:168030	Institut d'histoire économique Paul Bairoch
unige:168031	Faculté de droit
unige:168032	Département de droit international privé
unige:168033	Département de droit international privé
unige:168034	Département de droit international privé
unige:168037	Département des langues et des littératures françaises et latines médiévales
unige:168037	Institut d'histoire de la réformation
unige:168038	Institut d'histoire de la réformation
unige:168039	Département de droit international privé
unige:168040	Département de science politique et relations internationales
unige:168041	Département de science politique et relations internationales
unige:168042	Département de science politique et relations internationales
unige:168047	Département de droit international privé
unige:168048	Département de géographie et environnement
unige:168048	Institut d'études de la citoyenneté
unige:168049	Département de géographie et environnement
unige:168049	Institut des études genre
unige:168050	Département de géographie et environnement
unige:168050	Institut des études genre
unige:168051	Département de chimie organique
