id	980a
unige:1092	Article scientifique
unige:1093	Article scientifique
unige:1094	Preprint
unige:1095	Preprint
unige:1096	Preprint
unige:1097	Preprint
unige:1098	Preprint
unige:1099	Preprint
unige:1101	Article scientifique
unige:1102	Article scientifique
unige:1103	Article scientifique
unige:1104	Article scientifique
unige:1105	Article scientifique
unige:1106	Article scientifique
unige:1107	Article scientifique
unige:1108	Article scientifique
unige:1109	Article scientifique
unige:1110	Article scientifique
unige:1111	Article scientifique
unige:10363	Article scientifique
unige:10364	Article scientifique
unige:10365	Article scientifique
unige:10366	Article scientifique
unige:10367	Article scientifique
unige:10368	Article scientifique
unige:10369	Article scientifique
unige:10370	Article scientifique
unige:10371	Article scientifique
unige:10372	Article scientifique
unige:10373	Article scientifique
unige:10374	Article scientifique
unige:10375	Article scientifique
unige:10376	Article scientifique
unige:10377	Article scientifique
unige:10378	Article scientifique
unige:10379	Article scientifique
unige:10380	Article scientifique
unige:10381	Article scientifique
unige:10382	Article scientifique
unige:10383	Article scientifique
unige:10384	Article scientifique
unige:10385	Article scientifique
unige:10386	Article scientifique
unige:10387	Article scientifique
unige:10388	Article scientifique
unige:10389	Article scientifique
unige:10390	Article scientifique
unige:10391	Article scientifique
unige:10392	Article scientifique
unige:10393	Article scientifique
unige:10394	Article scientifique
unige:10395	Article scientifique
unige:10396	Article scientifique
unige:10397	Article scientifique
unige:10398	Article scientifique
unige:10399	Article scientifique
unige:10400	Article scientifique
unige:10401	Article scientifique
unige:10402	Article scientifique
unige:10403	Article scientifique
unige:10404	Article scientifique
unige:10405	Article scientifique
unige:10406	Article scientifique
unige:10407	Article scientifique
unige:10408	Article scientifique
unige:10409	Article scientifique
unige:10410	Article scientifique
unige:10411	Article scientifique
unige:10412	Article scientifique
unige:10413	Article scientifique
unige:10414	Article scientifique
unige:10415	Article scientifique
unige:10416	Article scientifique
unige:10417	Article scientifique
unige:10418	Article scientifique
unige:10419	Article scientifique
unige:10420	Article scientifique
unige:10421	Article scientifique
unige:10422	Article scientifique
unige:10423	Article scientifique
unige:10424	Article scientifique
unige:10425	Article scientifique
unige:10426	Article scientifique
unige:10427	Article scientifique
unige:10428	Article scientifique
unige:10429	Article scientifique
unige:10430	Article scientifique
unige:10431	Article scientifique
unige:10432	Article scientifique
unige:10433	Article scientifique
unige:10434	Article scientifique
unige:10435	Article scientifique
unige:10436	Article scientifique
unige:10437	Article scientifique
unige:10438	Article scientifique
unige:10439	Article scientifique
unige:10440	Article scientifique
unige:10441	Article scientifique
unige:10442	Article scientifique
unige:10443	Article scientifique
unige:10444	Article scientifique
unige:10445	Article scientifique
unige:10446	Article scientifique
unige:10447	Article scientifique
unige:10448	Article scientifique
unige:10449	Article scientifique
unige:10450	Article scientifique
unige:10451	Article scientifique
unige:10452	Article scientifique
unige:10453	Article scientifique
unige:10454	Article scientifique
unige:10455	Article scientifique
unige:10456	Article scientifique
unige:10457	Article scientifique
unige:10458	Article scientifique
unige:10459	Article scientifique
unige:10460	Article scientifique
unige:10461	Article scientifique
unige:10462	Article scientifique
unige:167403	Article scientifique
unige:167404	Thèse
unige:167405	Thèse
unige:167406	Thèse
unige:167407	Thèse
unige:167408	Thèse
unige:167409	Chapitre de livre
unige:167410	Article scientifique
unige:167411	Article scientifique
unige:167412	Article scientifique
unige:167413	Article scientifique
unige:167414	Article scientifique
unige:167415	Article scientifique
unige:167416	Article scientifique
unige:167417	Article scientifique
unige:167418	Article scientifique
unige:167419	Article scientifique
unige:167420	Article scientifique
unige:167421	Article scientifique
unige:167422	Master
unige:167423	Autre article
unige:167424	Article scientifique
unige:167425	Rapport technique
unige:167426	Article scientifique
unige:167427	Article scientifique
unige:167428	Rapport technique
unige:167429	Chapitre d'actes
unige:167430	Article scientifique
unige:167433	Article scientifique
unige:167434	Article scientifique
unige:167435	Article scientifique
unige:167436	Article scientifique
unige:167437	Article scientifique
unige:167439	Article scientifique
unige:167440	Article scientifique
unige:167441	Article scientifique
unige:167442	Article scientifique
unige:167443	Article scientifique
unige:167444	Article scientifique
unige:167446	Article scientifique
unige:167447	Master
unige:167448	Article scientifique
unige:167449	Chapitre de livre
unige:167450	Article scientifique
unige:167451	Article scientifique
unige:167452	Thèse
unige:167453	Thèse
unige:167454	Article scientifique
unige:167455	Article scientifique
unige:167456	Article scientifique
unige:167457	Article scientifique
unige:167459	Article scientifique
unige:167460	Article scientifique
unige:167461	Article scientifique
unige:167462	Article scientifique
unige:167463	Article scientifique
unige:167464	Article scientifique
unige:167465	Article scientifique
unige:167466	Article scientifique
unige:167467	Article scientifique
unige:167468	Article scientifique
unige:167469	Article scientifique
unige:167470	Article scientifique
unige:167471	Article scientifique
unige:167472	Article scientifique
unige:167473	Article scientifique
unige:167474	Article scientifique
unige:167475	Article scientifique
unige:167476	Article scientifique
unige:167477	Article scientifique
unige:167478	Article scientifique
unige:167479	Article scientifique
unige:167480	Article scientifique
unige:167481	Article scientifique
unige:167482	Thèse
unige:167483	Article scientifique
unige:167484	Article scientifique
unige:167485	Master
unige:167486	Article scientifique
unige:167487	Chapitre de livre
unige:167488	Article scientifique
unige:167489	Thèse
unige:167490	Article scientifique
unige:167491	Article scientifique
unige:167492	Article scientifique
unige:167493	Article scientifique
unige:167494	Article scientifique
unige:167495	Article scientifique
unige:167496	Article scientifique
unige:167497	Article scientifique
unige:167498	Présentation / Intervention
unige:167499	Article scientifique
unige:167500	Article scientifique
unige:167501	Article scientifique
unige:167502	Article scientifique
unige:167503	Article scientifique
unige:167504	Article scientifique
unige:167505	Article scientifique
unige:167506	Article scientifique
unige:167507	Article scientifique
unige:167508	Article scientifique
unige:167514	Chapitre de livre
unige:167515	Chapitre de livre
unige:167516	Chapitre de livre
unige:167517	Article scientifique
unige:167518	Ouvrage collectif
unige:167519	Article scientifique
unige:167520	Chapitre de livre
unige:167521	Chapitre de livre
unige:167522	Chapitre de livre
unige:167523	Working paper
unige:167524	Article scientifique
unige:167525	Working paper
unige:167526	Article professionnel
unige:167527	Working paper
unige:167528	Working paper
unige:167529	Working paper
unige:167530	Working paper
unige:167531	Article professionnel
unige:167532	Chapitre de livre
unige:167533	Working paper
unige:167534	Article scientifique
unige:167535	Présentation / Intervention
unige:167536	Article professionnel
unige:167537	Working paper
unige:167538	Article scientifique
unige:167539	Article scientifique
unige:167540	Présentation / Intervention
unige:167541	Article professionnel
unige:167542	Article professionnel
unige:167543	Article scientifique
unige:167544	Article scientifique
unige:167545	Article scientifique
unige:167546	Article scientifique
unige:167547	Article scientifique
unige:167548	Article scientifique
unige:167549	Article scientifique
unige:167550	Thèse
unige:167551	Thèse
unige:167552	Article scientifique
unige:167553	Article scientifique
unige:167554	Article scientifique
unige:167555	Article scientifique
unige:167556	Article scientifique
unige:167559	Ouvrage collectif
unige:167560	Chapitre de livre
unige:167561	Chapitre de livre
unige:167562	Chapitre de livre
unige:167563	Article professionnel
unige:167564	Chapitre de livre
unige:167565	Thèse
unige:167566	Article scientifique
unige:167567	Article scientifique
unige:167568	Article scientifique
unige:167570	Article scientifique
unige:167571	Article scientifique
unige:167573	Article scientifique
unige:167574	Article scientifique
unige:167575	Article scientifique
unige:167576	Article scientifique
unige:167577	Article scientifique
unige:167578	Article scientifique
unige:167579	Article scientifique
unige:167580	Article scientifique
unige:167581	Article scientifique
unige:167582	Article scientifique
unige:167583	Article scientifique
unige:167584	Article scientifique
unige:167589	Article scientifique
unige:167590	Article scientifique
unige:167594	Article scientifique
unige:167598	Master
unige:167599	Master
unige:167600	Master
unige:167601	Master
unige:167602	Article scientifique
unige:167603	Article scientifique
unige:167604	Master
unige:167605	Article scientifique
unige:167606	Thèse
unige:167608	Article scientifique
unige:167609	Article scientifique
unige:167610	Article scientifique
unige:167613	Chapitre d'actes
unige:167614	Article scientifique
unige:167615	Thèse
unige:167616	Chapitre d'actes
unige:167617	Présentation / Intervention
unige:167618	Présentation / Intervention
unige:167619	Article scientifique
unige:167620	Article scientifique
unige:167621	Article scientifique
unige:167622	Article scientifique
unige:167623	Actes de conférence
unige:167624	Chapitre de livre
unige:167625	Chapitre de livre
unige:167626	Contribution à un dictionnaire / une encyclopédie
unige:167627	Article scientifique
unige:167629	Article scientifique
unige:167630	Autre article
unige:167631	Article scientifique
unige:167632	Article scientifique
unige:167633	Article scientifique
unige:167634	Chapitre d'actes
unige:167635	Article scientifique
unige:167636	Article scientifique
unige:167640	Chapitre de livre
unige:167641	Article scientifique
unige:167642	Article scientifique
unige:167643	Article scientifique
unige:167644	Article scientifique
unige:167645	Chapitre de livre
unige:167646	Article scientifique
unige:167647	Article scientifique
unige:167649	Article scientifique
unige:167651	Autre article
unige:167652	Présentation / Intervention
unige:167653	Chapitre de livre
unige:167654	Chapitre de livre
unige:167655	Chapitre de livre
unige:167656	Chapitre de livre
unige:167657	Ouvrage collectif
unige:167658	Thèse
unige:167659	Chapitre d'actes
unige:167660	Article scientifique
unige:167661	Article scientifique
unige:167662	Article scientifique
unige:167672	Thèse
unige:167673	Thèse
unige:167675	Article scientifique
unige:167676	Article scientifique
unige:167677	Chapitre de livre
unige:167678	Chapitre de livre
unige:167679	Article scientifique
unige:167680	Ouvrage collectif
unige:167681	Chapitre de livre
unige:167682	Master
unige:167683	Article scientifique
unige:167684	Master
unige:167685	Article scientifique
unige:167686	Article scientifique
unige:167687	Chapitre d'actes
unige:167688	Article scientifique
unige:167689	Master
unige:167690	Working paper
unige:167691	Master
unige:167692	Présentation / Intervention
unige:167693	Article scientifique
unige:167694	Master
unige:167695	Article scientifique
unige:167696	Article scientifique
unige:167697	Article scientifique
unige:167698	Article scientifique
unige:167699	Article scientifique
unige:167700	Article scientifique
unige:167701	Article scientifique
unige:167702	Master
unige:167703	Article scientifique
unige:167704	Article professionnel
unige:167705	Article scientifique
unige:167706	Article scientifique
unige:167707	Chapitre de livre
unige:167708	Article scientifique
unige:167709	Article scientifique
unige:167710	Preprint
unige:167711	Article scientifique
unige:167712	Article scientifique
unige:167713	Chapitre de livre
unige:167714	Article scientifique
unige:167715	Article scientifique
unige:167716	Chapitre de livre
unige:167717	Article scientifique
unige:167718	Article scientifique
unige:167719	Article scientifique
unige:167720	Chapitre de livre
unige:167721	Chapitre de livre
unige:167722	Article scientifique
unige:167723	Article professionnel
unige:167724	Chapitre d'actes
unige:167725	Actes de conférence
unige:167726	Chapitre d'actes
unige:167727	Article professionnel
unige:167728	Chapitre d'actes
unige:167729	Chapitre de livre
unige:167730	Chapitre d'actes
unige:167731	Article scientifique
unige:167732	Article scientifique
unige:167733	Article scientifique
unige:167734	Article scientifique
unige:167735	Article scientifique
unige:167736	Article scientifique
unige:167737	Article scientifique
unige:167738	Article scientifique
unige:167739	Poster
unige:167740	Article scientifique
unige:167741	Poster
unige:167742	Article scientifique
unige:167743	Thèse
unige:167744	Chapitre de livre
unige:167745	Présentation / Intervention
unige:167746	Article scientifique
unige:167747	Chapitre d'actes
unige:167748	Thèse
unige:167749	Article scientifique
unige:167750	Article scientifique
unige:167751	Article scientifique
unige:167752	Article scientifique
unige:167753	Article scientifique
unige:167754	Article scientifique
unige:167755	Article scientifique
unige:167756	Article scientifique
unige:167757	Article scientifique
unige:167758	Article scientifique
unige:167759	Article scientifique
unige:167760	Article scientifique
unige:167761	Livre
unige:167762	Chapitre de livre
unige:167763	Article scientifique
unige:167765	Article scientifique
unige:167767	Article scientifique
unige:167768	Thèse
unige:167769	Article scientifique
unige:167770	Article scientifique
unige:167771	Article scientifique
unige:167772	Livre
unige:167773	Article scientifique
unige:167774	Article scientifique
unige:167775	Article scientifique
unige:167776	Article scientifique
unige:167777	Article scientifique
unige:167778	Thèse
unige:167779	Rapport de recherche
unige:167780	Présentation / Intervention
unige:167781	Article scientifique
unige:167782	Article scientifique
unige:167783	Article scientifique
unige:167784	Article scientifique
unige:167785	Article scientifique
unige:167786	Chapitre d'actes
unige:167787	Article scientifique
unige:167788	Article scientifique
unige:167789	Thèse
unige:167790	Article scientifique
unige:167791	Chapitre d'actes
unige:167792	Chapitre d'actes
unige:167793	Article scientifique
unige:167794	Chapitre de livre
unige:167795	Article scientifique
unige:167796	Article scientifique
unige:167797	Article scientifique
unige:167798	Article scientifique
unige:167799	Thèse
unige:167800	Chapitre d'actes
unige:167801	Master
unige:167802	Master
unige:167803	Master
unige:167804	Master
unige:167805	Master
unige:167806	Master
unige:167807	Master
unige:167808	Master
unige:167809	Actes de conférence
unige:167810	Article professionnel
unige:167811	Livre
unige:167812	Livre
unige:167813	Article scientifique
unige:167814	Article scientifique
unige:167815	Article scientifique
unige:167816	Article scientifique
unige:167817	Article scientifique
unige:167818	Thèse
unige:167819	Article scientifique
unige:167820	Article scientifique
unige:167821	Article scientifique
unige:167822	Thèse
unige:167823	Master
unige:167824	Article scientifique
unige:167825	Article scientifique
unige:167826	Article scientifique
unige:167827	Article scientifique
unige:167828	Article scientifique
unige:167829	Article scientifique
unige:167830	Article scientifique
unige:167831	Article scientifique
unige:167832	Article scientifique
unige:167833	Article scientifique
unige:167834	Article scientifique
unige:167835	Article scientifique
unige:167836	Article scientifique
unige:167837	Article scientifique
unige:167838	Article scientifique
unige:167839	Master
unige:167840	Master
unige:167841	Master
unige:167842	Master
unige:167843	Master
unige:167844	Master
unige:167845	Master
unige:167846	Master
unige:167847	Article scientifique
unige:167848	Article scientifique
unige:167849	Article scientifique
unige:167850	Article scientifique
unige:167851	Thèse
unige:167852	Article scientifique
unige:167853	Article scientifique
unige:167854	Article scientifique
unige:167855	Article scientifique
unige:167856	Article scientifique
unige:167857	Master
unige:167858	Thèse
unige:167859	Master
unige:167861	Présentation / Intervention
unige:167862	Autre article
unige:167863	Chapitre de livre
unige:167864	Chapitre de livre
unige:167865	Chapitre de livre
unige:167866	Thèse
unige:167867	Chapitre de livre
unige:167868	Article scientifique
unige:167869	Article scientifique
unige:167870	Article scientifique
unige:167871	Ouvrage collectif
unige:167872	Chapitre de livre
unige:167873	Article scientifique
unige:167874	Article scientifique
unige:167875	Article scientifique
unige:167876	Article scientifique
unige:167877	Article scientifique
unige:167878	Article scientifique
unige:167879	Article scientifique
unige:167880	Article scientifique
unige:167881	Article scientifique
unige:167882	Article scientifique
unige:167883	Article scientifique
unige:167884	Article scientifique
unige:167885	Article scientifique
unige:167886	Article scientifique
unige:167887	Article scientifique
unige:167888	Article scientifique
unige:167889	Ouvrage collectif
unige:167890	Article scientifique
unige:167891	Article scientifique
unige:167892	Chapitre de livre
unige:167893	Article professionnel
unige:167894	Article scientifique
unige:167895	Article professionnel
unige:167896	Chapitre de livre
unige:167897	Article scientifique
unige:167898	Livre
unige:167899	Article scientifique
unige:167900	Thèse
unige:167901	Thèse
unige:167902	Contribution à un dictionnaire / une encyclopédie
unige:167903	Article scientifique
unige:167904	Article professionnel
unige:167905	Article scientifique
unige:167906	Article scientifique
unige:167907	Article scientifique
unige:167908	Article scientifique
unige:167909	Article scientifique
unige:167910	Article scientifique
unige:167911	Article scientifique
unige:167912	Article scientifique
unige:167913	Article scientifique
unige:167914	Article scientifique
unige:167915	Article scientifique
unige:167916	Article scientifique
unige:167917	Thèse
unige:167918	Thèse
unige:167919	Master
unige:167920	Master
unige:167921	Master
unige:167922	Master
unige:167923	Master
unige:167924	Master
unige:167925	Master
unige:167926	Master
unige:167927	Article scientifique
unige:167928	Article scientifique
unige:167929	Article scientifique
unige:167930	Article professionnel
unige:167931	Article scientifique
unige:167932	Article scientifique
unige:167933	Article scientifique
unige:167934	Thèse
unige:167935	Article scientifique
unige:167936	Article scientifique
unige:167937	Article scientifique
unige:167938	Article scientifique
unige:167939	Article scientifique
unige:167940	Article scientifique
unige:167941	Article scientifique
unige:167942	Chapitre de livre
unige:167943	Article scientifique
unige:167944	Article scientifique
unige:167945	Article scientifique
unige:167946	Article scientifique
unige:167947	Article scientifique
unige:167948	Article scientifique
unige:167949	Article scientifique
unige:167950	Ouvrage collectif
unige:167951	Chapitre de livre
unige:167952	Chapitre de livre
unige:167953	Chapitre de livre
unige:167954	Contribution à un dictionnaire / une encyclopédie
unige:167955	Chapitre d'actes
unige:167956	Chapitre de livre
unige:167957	Article professionnel
unige:167958	Article professionnel
unige:167959	Article professionnel
unige:167960	Présentation / Intervention
unige:167961	Chapitre d'actes
unige:167962	Chapitre de livre
unige:167964	Article scientifique
unige:167967	Master
unige:167968	Article scientifique
unige:167969	Working paper
unige:167970	Working paper
unige:167971	Working paper
unige:167972	Rapport de recherche
unige:167973	Chapitre de livre
unige:167974	Article scientifique
unige:167975	Working paper
unige:167976	Thèse
unige:167977	Article scientifique
unige:167978	Article scientifique
unige:167979	Article scientifique
unige:167980	Thèse
unige:167981	Chapitre de livre
unige:167982	Chapitre d'actes
unige:167983	Article scientifique
unige:167984	Chapitre de livre
unige:167985	Article scientifique
unige:167986	Article scientifique
unige:167987	Master
unige:167988	Master
unige:167989	Chapitre de livre
unige:167990	Chapitre de livre
unige:167991	Master
unige:167992	Chapitre de livre
unige:167993	Master
unige:167994	Chapitre de livre
unige:167995	Article scientifique
unige:167996	Article scientifique
unige:167997	Article scientifique
unige:167998	Chapitre de livre
unige:167999	Chapitre d'actes
unige:168000	Article scientifique
unige:168001	Article scientifique
unige:168002	Article scientifique
unige:168003	Article scientifique
unige:168004	Article scientifique
unige:168005	Article scientifique
unige:168006	Article scientifique
unige:168007	Article scientifique
unige:168008	Article scientifique
unige:168009	Article scientifique
unige:168010	Article scientifique
unige:168011	Article scientifique
unige:168012	Article scientifique
unige:168013	Article scientifique
unige:168014	Article scientifique
unige:168015	Article scientifique
unige:168016	Article scientifique
unige:168017	Article scientifique
unige:168018	Article scientifique
unige:168019	Article scientifique
unige:168020	Article scientifique
unige:168021	Article scientifique
unige:168022	Article scientifique
unige:168023	Article scientifique
unige:168024	Article scientifique
unige:168025	Article scientifique
unige:168026	Article scientifique
unige:168027	Article scientifique
unige:168028	Working paper
unige:168029	Thèse
unige:168030	Thèse
unige:168031	Master
unige:168032	Article scientifique
unige:168033	Article scientifique
unige:168034	Article scientifique
unige:168035	Article scientifique
unige:168036	Article scientifique
unige:168037	Ouvrage collectif
unige:168038	Chapitre de livre
unige:168039	Article scientifique
unige:168040	Working paper
unige:168041	Working paper
unige:168042	Working paper
unige:168043	Chapitre de livre
unige:168044	Article scientifique
unige:168045	Article scientifique
unige:168046	Article scientifique
unige:168047	Article scientifique
unige:168048	Article scientifique
unige:168049	Article scientifique
unige:168050	Présentation / Intervention
unige:168051	Article scientifique
unige:168052	Article scientifique
unige:168053	Article scientifique
unige:168054	Article scientifique
unige:168055	Article scientifique
unige:168056	Article scientifique
unige:168057	Article scientifique
unige:168058	Article scientifique
unige:168059	Article scientifique
unige:168060	Thèse de privat-docent
unige:168061	Chapitre d'actes
unige:168062	Article scientifique
unige:168063	Article scientifique
unige:168064	Article scientifique
unige:168065	Article scientifique
unige:168066	Poster
unige:168067	Article scientifique
unige:168068	Article scientifique
unige:168069	Chapitre de livre
unige:168070	Working paper
unige:168071	Article scientifique
unige:168072	Article scientifique
unige:168073	Article scientifique
unige:168074	Article scientifique
unige:168075	Article scientifique
unige:168076	Chapitre de livre
