id	date
unige:10440	2003
unige:10441	2002
unige:10442	2002
unige:10443	2005
unige:10444	2005
unige:10445	2006
unige:10446	1999
unige:10447	1996
unige:10448	1996
unige:10449	2005
unige:10450	2000
unige:10451	2005
unige:10452	2010
unige:10453	1997
unige:10454	2004
unige:10455	2003
unige:10456	2004
unige:10457	2010
unige:10458	2002
unige:10459	2002
unige:10460	2009
unige:10461	1998
unige:10462	1999
unige:167403	2022
unige:167404	2023
unige:167405	2022
unige:167406	2022
unige:167407	2022
unige:167408	2023
unige:167409	2022
unige:167410	2023
unige:167411	2003
unige:167412	1985
unige:167413	1985
unige:167414	1985
unige:167415	1985
unige:167416	1982
unige:167417	1977
unige:167418	2021
unige:167419	2022
unige:167420	2023
unige:167421	2022
unige:167422	2023
unige:167423	2023
unige:167424	2022
unige:167425	2019
unige:167426	2021
unige:167427	2021
unige:167428	2011
unige:167429	2023
unige:167430	2023
unige:167433	2002
unige:167434	1998
unige:167435	1998
unige:167436	2015
unige:167437	1977
unige:167439	1982
unige:167440	1968
unige:167441	1982
unige:167442	1979
unige:167443	2020
unige:167444	1946
unige:167446	2004
unige:167447	2023
unige:167448	2005
unige:167449	2023
unige:167450	2020
unige:167451	2018
unige:167452	2023
unige:167453	2023
unige:167454	2012
unige:167455	2023
unige:167456	2005
unige:167457	2005
unige:167459	2023
unige:167460	2023
unige:167461	2021
unige:167462	2019
unige:167463	2003
unige:167464	2002
unige:167465	2006
unige:167466	1975
unige:167467	2008
unige:167468	2006
unige:167469	1996
unige:167470	2004
unige:167471	2003
unige:167472	2002
unige:167473	2003
unige:167474	1998
unige:167475	2018
unige:167476	2015
unige:167477	2014
unige:167478	2014
unige:167479	2012
unige:167480	2013
unige:167481	2008
unige:167482	2022
unige:167483	2022
unige:167484	2001
unige:167485	2023
unige:167486	2023
unige:167487	2023
unige:167488	1999
unige:167489	2023
unige:167490	2023
unige:167491	2023
unige:167492	2023
unige:167493	2023
unige:167494	2022
unige:167495	2022
unige:167496	2023
unige:167497	2023
unige:167498	2022
unige:167499	2016
unige:167500	2018
unige:167501	2018
unige:167502	2018
unige:167503	2019
unige:167504	2020
unige:167505	2021
unige:167506	2022
unige:167507	2021
unige:167508	2023
unige:167514	2018
unige:167515	2005
unige:167516	2022
unige:167517	2024
unige:167518	2021
unige:167519	2021
unige:167520	2020
unige:167521	2012
unige:167522	2023
unige:167523	2021
unige:167524	2020
unige:167525	2021
unige:167526	2021
unige:167527	2021
unige:167528	2021
unige:167529	2021
unige:167530	2022
unige:167531	2022
unige:167532	2022
unige:167533	2022
unige:167534	2021
unige:167535	2023
unige:167536	2022
unige:167537	2023
unige:167538	2022
unige:167539	2023
unige:167540	2023
unige:167541	2022
unige:167542	2022
unige:167543	1985
unige:167544	1985
unige:167545	1997
unige:167546	1998
unige:167547	2000
unige:167548	2000
unige:167549	2001
unige:167550	2023
unige:167551	2022
unige:167552	2022
unige:167553	2022
unige:167554	2023
unige:167555	2023
unige:167556	2023
unige:167559	2023
unige:167560	2007
unige:167561	2011
unige:167562	2022
unige:167563	2021
unige:167564	2023
unige:167565	2023
unige:167566	1977
unige:167567	1978
unige:167568	1980
unige:167570	2018
unige:167571	2023
unige:167573	2022
unige:167574	2022
unige:167575	1980
unige:167576	2022
unige:167577	2023
unige:167578	2022
unige:167579	2022
unige:167580	1985
unige:167581	1985
unige:167582	1985
unige:167583	1998
unige:167584	1998
unige:167589	2023
unige:167590	2023
unige:167594	2021
unige:167598	2021
unige:167599	2023
unige:167600	2023
unige:167601	2023
unige:167602	2023
unige:167603	2023
unige:167604	2023
unige:167605	2023
unige:167606	2023
unige:167608	1998
unige:167609	2023
unige:167610	2023
unige:167613	1978
unige:167614	1987
unige:167615	2023
unige:167616	2022
unige:167617	2022
unige:167618	2021
unige:167619	2023
unige:167620	2022
unige:167621	2022
unige:167622	2013
unige:167623	2019
unige:167624	2023
unige:167625	2016
unige:167626	2017
unige:167627	2022
unige:167629	2022
unige:167630	2023
unige:167631	2023
unige:167632	2022
unige:167633	2023
unige:167634	2022
unige:167635	2023
unige:167636	2023
unige:167640	2022
unige:167641	2023
unige:167642	2023
unige:167643	2023
unige:167644	2022
unige:167645	2023
unige:167646	2022
unige:167647	2023
unige:167649	2022
unige:167651	2023
unige:167652	2023
unige:167653	2023
unige:167654	2023
unige:167655	2023
unige:167656	2023
unige:167657	2023
unige:167658	2023
unige:167659	2017
unige:167660	2017
unige:167661	2020
unige:167662	2016
unige:167672	2023
unige:167673	2023
unige:167675	2023
unige:167676	2021
unige:167677	2021
unige:167678	2021
unige:167679	2023
unige:167680	2023
unige:167681	2023
unige:167682	2022
unige:167683	2022
unige:167684	2023
unige:167685	1993
unige:167686	1996
unige:167687	2022
unige:167688	2023
unige:167689	2022
unige:167690	2022
unige:167691	2017
unige:167692	2023
unige:167693	2018
unige:167694	2023
unige:167695	2021
unige:167696	2021
unige:167697	1995
unige:167698	1995
unige:167699	1995
unige:167700	2020
unige:167701	1996
unige:167702	2023
unige:167703	2022
unige:167704	2023
unige:167705	2023
unige:167706	2023
unige:167707	2021
unige:167708	2023
unige:167709	2022
unige:167710	2023
unige:167711	2023
unige:167712	2023
unige:167713	2023
unige:167714	2023
unige:167715	2023
unige:167716	2023
unige:167717	2021
unige:167718	2023
unige:167719	2023
unige:167720	2021
unige:167721	2021
unige:167722	2023
unige:167723	2021
unige:167724	2023
unige:167725	2023
unige:167726	2022
unige:167727	2020
unige:167728	2022
unige:167729	2023
unige:167730	2022
unige:167731	2023
unige:167732	2022
unige:167733	2015
unige:167734	2019
unige:167735	2018
unige:167736	2015
unige:167737	2019
unige:167738	2019
unige:167739	2022
unige:167740	2017
unige:167741	2022
unige:167742	1996
unige:167743	2023
unige:167744	2023
unige:167745	2023
unige:167746	2023
unige:167747	2019
unige:167748	2023
unige:167749	2019
unige:167750	2015
unige:167751	2022
unige:167752	2022
unige:167753	2022
unige:167754	1985
unige:167755	1985
unige:167756	1985
unige:167757	1996
unige:167758	2023
unige:167759	2012
unige:167760	2023
unige:167761	2023
unige:167762	2023
unige:167763	2023
unige:167765	2023
unige:167767	2021
unige:167768	2022
unige:167769	2021
unige:167770	2021
unige:167771	2021
unige:167772	1981
unige:167773	2021
unige:167774	2021
unige:167775	1985
unige:167776	1985
unige:167777	1985
unige:167778	2023
unige:167779	2019
unige:167780	2023
unige:167781	2023
unige:167782	2020
unige:167783	2023
unige:167784	2023
unige:167785	1984
unige:167786	1984
unige:167787	2023
unige:167788	2022
unige:167789	2023
unige:167790	2021
unige:167791	2020
unige:167792	2020
unige:167793	2023
unige:167794	2022
unige:167795	2019
unige:167796	2019
unige:167797	2019
unige:167798	2020
unige:167799	2023
unige:167800	2019
unige:167801	2023
unige:167802	2023
unige:167803	2023
unige:167804	2023
unige:167805	2023
unige:167806	2023
unige:167807	2023
unige:167808	2023
unige:167809	2022
unige:167810	2023
unige:167811	2023
unige:167812	2023
unige:167813	2023
unige:167814	1992
unige:167815	2023
unige:167816	2022
unige:167817	2023
unige:167818	2023
unige:167819	2023
unige:167820	2022
unige:167821	2023
unige:167822	2023
unige:167823	2022
unige:167824	2022
unige:167825	2023
unige:167826	2022
unige:167827	2022
unige:167828	2023
unige:167829	2023
unige:167830	2023
unige:167831	2023
unige:167832	2023
unige:167833	2023
unige:167834	2023
unige:167835	2022
unige:167836	2023
unige:167837	2022
unige:167838	2023
unige:167839	2022
unige:167840	2023
unige:167841	2023
unige:167842	2023
unige:167843	2023
unige:167844	2023
unige:167845	2023
unige:167846	2023
unige:167847	1992
unige:167848	1992
unige:167849	1994
unige:167850	1992
unige:167851	1976
unige:167852	2015
unige:167853	2015
unige:167854	2019
unige:167855	2013
unige:167856	2019
unige:167857	2022
unige:167858	1968
unige:167859	2023
unige:167861	2023
unige:167862	2023
unige:167863	2010
unige:167864	2023
unige:167865	2023
unige:167866	2023
unige:167867	2023
unige:167868	2023
unige:167869	2022
unige:167870	2023
unige:167871	2023
unige:167872	2022
unige:167873	2022
unige:167874	2022
unige:167875	2022
unige:167876	2022
unige:167877	2023
unige:167878	2021
unige:167879	2021
unige:167880	2023
unige:167881	2021
unige:167882	2023
unige:167883	2023
unige:167884	2022
unige:167885	2017
unige:167886	2016
unige:167887	2016
unige:167888	2022
unige:167889	2023
unige:167890	2023
unige:167891	1998
unige:167892	2022
unige:167893	2021
unige:167894	2023
unige:167895	2022
unige:167896	2020
unige:167897	2023
unige:167898	2003
unige:167899	2015
unige:167900	1976
unige:167901	1970
unige:167902	2022
unige:167903	2018
unige:167904	2020
unige:167905	2020
unige:167906	1984
unige:167907	1984
unige:167908	1984
unige:167909	1984
unige:167910	1984
unige:167911	1984
unige:167912	1984
unige:167913	1984
unige:167914	1984
unige:167915	1984
unige:167916	1984
unige:167917	2023
unige:167918	2023
unige:167919	2023
unige:167920	2023
unige:167921	2023
unige:167922	2023
unige:167923	2023
unige:167924	2023
unige:167925	2022
unige:167926	2023
unige:167927	2023
unige:167928	2023
unige:167929	1984
unige:167930	1984
unige:167931	1984
unige:167932	1984
unige:167933	2016
unige:167934	2023
unige:167935	2023
unige:167936	2019
unige:167937	2019
unige:167938	2020
unige:167939	2023
unige:167940	2023
unige:167941	2023
unige:167942	2022
unige:167943	2022
unige:167944	2022
unige:167945	2022
unige:167946	2019
unige:167947	2023
unige:167948	2019
unige:167949	2019
unige:167950	2017
unige:167951	2017
unige:167952	2017
unige:167953	2018
unige:167954	2022
unige:167955	2023
unige:167956	2021
unige:167957	2020
unige:167958	2019
unige:167959	2013
unige:167960	2022
unige:167961	2022
unige:167962	2019
unige:167964	2008
unige:167967	2022
unige:167968	2023
unige:167969	2023
unige:167970	2023
unige:167971	2023
unige:167972	2023
unige:167973	2022
unige:167974	2023
unige:167975	2023
unige:167976	2023
unige:167977	2020
unige:167978	2022
unige:167979	2021
unige:167980	2023
unige:167981	2023
unige:167982	2003
unige:167983	2014
unige:167984	2023
unige:167985	2022
unige:167986	2023
unige:167987	2023
unige:167988	2023
unige:167989	2022
unige:167990	2023
unige:167991	2022
unige:167992	2013
unige:167993	2023
unige:167994	2022
unige:167995	2011
unige:167996	2002
unige:167997	2005
unige:167998	2023
unige:167999	1984
unige:168000	1984
unige:168001	1984
unige:168002	1984
unige:168003	1984
unige:168004	1984
unige:168005	1984
unige:168006	1984
unige:168007	1984
unige:168008	1984
unige:168009	1984
unige:168010	2001
unige:168011	2002
unige:168012	1983
unige:168013	1983
unige:168014	1983
unige:168015	2023
unige:168016	2022
unige:168017	2022
unige:168018	2022
unige:168019	2022
unige:168020	2021
unige:168021	2023
unige:168022	2023
unige:168023	2023
unige:168024	2022
unige:168025	2021
unige:168026	2022
unige:168027	2021
unige:168028	2022
unige:168029	2023
unige:168030	2023
unige:168031	2022
unige:168032	2003
unige:168033	2002
unige:168034	2016
unige:168035	2023
unige:168036	2023
unige:168037	2022
unige:168038	2022
unige:168039	2015
unige:168040	2023
unige:168041	2023
unige:168042	2023
unige:168043	2022
unige:168044	2023
unige:168045	2023
unige:168046	2024
unige:168047	2011
unige:168048	2023
unige:168049	2023
unige:168050	2023
unige:168051	1982
unige:168052	1983
unige:168053	1983
unige:168054	1983
unige:168055	1983
unige:168056	1983
unige:168057	1983
unige:168058	1983
unige:168059	1983
unige:168060	2023
unige:168061	2020
unige:168062	2023
unige:168063	2019
unige:168064	2021
unige:168065	2018
unige:168066	2022
unige:168067	2013
unige:168068	2019
unige:168069	2011
unige:168070	2023
unige:168071	2023
unige:168072	2017
unige:168073	2015
unige:168074	2023
unige:168075	2016
unige:168076	2022
unige:168077	2023
unige:168078	2023
unige:168079	2023
unige:168080	2002
unige:168081	2023
unige:168082	2022
unige:168083	2023
unige:168084	2022
unige:168085	2020
unige:168086	2021
unige:168087	2022
unige:168088	2022
unige:168089	2021
unige:168090	2021
unige:168091	2021
unige:168092	1997
unige:168093	2022
unige:168094	2023
unige:168095	2023
unige:168097	2023
unige:168098	2023
unige:168099	1997
unige:168100	1996
unige:168101	2023
unige:168102	2023
unige:168103	2023
unige:168104	2023
unige:168105	2023
unige:168106	2023
unige:168107	2022
unige:168108	1996
unige:168109	1996
unige:168110	1995
unige:168111	1995
unige:168112	1995
unige:168113	2023
unige:168114	2023
unige:168115	2018
unige:168116	2020
unige:168117	2018
unige:168118	2004
unige:168119	2020
unige:168120	2019
unige:168123	2014
unige:168124	2023
unige:168125	2016
unige:168127	2023
unige:168131	2011
unige:168132	2022
unige:168133	2023
unige:168134	2022
unige:168135	2023
unige:168139	2023
unige:168140	2023
unige:168141	2022
unige:168142	2012
unige:168143	1995
unige:168144	2019
unige:168145	2016
unige:168146	2023
unige:168147	1990
unige:168148	2021
unige:168149	2022
unige:168150	2023
unige:168151	2023
unige:168152	2023
unige:168153	2023
unige:168154	2023
unige:168155	2023
unige:168156	2022
unige:168157	2023
unige:168158	2023
unige:168159	2023
unige:168160	2023
unige:168161	2023
unige:168162	2022
unige:168163	2022
unige:168164	2017
unige:168165	2022
unige:168166	2003
unige:168167	2019
unige:168168	2022
unige:168169	2018
unige:168170	2022
unige:168171	2018
unige:168172	2017
unige:168173	2019
unige:168174	2013
unige:168175	2014
unige:168176	2001
unige:168177	2020
unige:168178	2018
unige:168179	2015
unige:168180	2018
unige:168181	2017
unige:168182	1983
unige:168183	1983
unige:168184	1983
unige:168185	1983
unige:168186	1983
unige:168187	1983
unige:168188	1983
unige:168189	1983
unige:168190	1983
unige:168191	1983
