id	DOI_AOU	DOI
unige:166718	10.1016/j.ajodo.2022.03.014	10.1016/J.AJODO.2022.03.014
unige:166940	10.1016/j.ajodo.2022.03.014	10.1016/J.AJODO.2022.03.014
unige:170403	10.1093/eurheartj/ehab866	10.1093/EURHEARTJ/EHAB866
unige:165129	10.1093/eurheartj/ehab866	10.1093/EURHEARTJ/EHAB866
