DATE	PLOS	PLOS DATA	PLOS REPO	PLOS DATA%	PLOS REPO%	PLOS COMPARATOR	PLOS COMPARATOR DATA	PLOS COMPARATOR REPO	PLOS COMPARATOR DATA%	PLOS COMPARATOR REPO%	AOU	DATA_AOU	DATA_TYPE_SHARED_DATA_AOU	AOU DATA%	AOU REPO%	PUBMED	DATA_PUBMED	DATA_PUBMED%
2018	20540	14456.0	4013.0	0.7037974683544304	0.1953748782862707	4109	1409.0	294.0	0.34290581650036506	0.07155025553662692	2352.0	125.0	48.0	0.05314625850340136	0.02040816326530612	2864.0	2169.0	0.7573324022346368
2019	16406	12151.0	3747.0	0.7406436669511155	0.22839205168840668	3527	1316.0	286.0	0.3731216331159626	0.08108874397504962	2406.0	316.0	80.0	0.1313383208645054	0.03325020781379884	2923.0	271.0	0.09271296613068765
2020	17377	12839.0	4108.0	0.738850204293031	0.23640444265408297	3955	1399.0	380.0	0.3537294563843236	0.09608091024020228	2596.0	526.0	106.0	0.20261941448382126	0.040832049306625574	3468.0	204.0	0.058823529411764705
2021	17670	13192.0	4588.0	0.746576117713639	0.2596491228070175	3753	1472.0	474.0	0.3922195576871836	0.12629896083133493	2678.0	724.0	170.0	0.2703510082150859	0.06348020911127707	3801.0	1525.0	0.4012102078400421
2022	18048	13536.0	5046.0	0.75	0.27958776595744683	3158	1330.0	486.0	0.42115262824572514	0.1538948701709943	2263.0	694.0	182.0	0.30667255855059655	0.08042421564295184	3620.0	185.0	0.05110497237569061
