856_domain	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
ADNI.LONI.USC.EDU	5	5	5	0	0	0	0	0	0	1	3	2	2
ADSABS.HARVARD.EDU	0	0	0	0	0	0	0	0	0	0	0	0	0
ADVANCES.SCIENCEMAG.ORG	0	4	1	4	1	0	1	0	0	1	5	5	0
ADVANCESINRHEUMATOLOGY.BIOMEDCENTRAL.COM	0	1	1	0	0	0	0	0	0	0	0	0	0
ADVANCESINSIMULATION.BIOMEDCENTRAL.COM	0	0	0	0	0	0	0	0	0	0	0	0	0
AEHMO.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AEI.PITT.EDU	0	0	0	0	0	0	0	0	0	0	0	0	0
AEM.ASM.ORG	0	2	1	1	0	0	0	0	0	0	0	0	0
AEMG.UNIGE.CH	0	1	1	0	0	0	0	0	0	0	0	0	0
AERJOURNAL.COM	0	2	2	0	0	0	0	0	0	0	0	0	0
AESTHETICINVESTIGATIONS.EU	0	1	0	0	0	0	1	0	0	0	1	1	0
AFAJOF.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AFB.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCP-PAROLE.ORG	0	0	0	0	0	0	0	0	0	0	2	2	0
AFD.FR	2	0	0	0	0	0	0	0	0	0	0	0	0
AFEC-INFO.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AFES-PRESS.DE	0	0	0	0	0	0	0	0	0	0	0	0	0
AFMU.REVUESONLINE.COM	0	1	0	0	0	0	0	0	1	0	0	0	0
AFRICAMUSEUM.BE	0	4	0	0	4	0	0	0	0	0	4	4	0
AFRICAN-ARCHAEOLOGY.DE	0	1	0	0	1	0	0	0	0	0	0	0	0
AFRICANRHETORIC.ORG	0	0	0	0	0	0	0	0	0	0	0	0	0
AGEING.OXFORDJOURNALS.ORG	0	6	5	1	0	0	0	0	1	0	0	0	0
