date	id	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	BIOMED_DATA	BIOMED_NOT_DATA	NOT_DATA
1896	unige:27195unige:27198unige:27199unige:27201unige:27203unige:27204unige:27211unige:27213unige:27214unige:27215unige:27218unige:27219unige:27221unige:27222unige:27223unige:27226unige:27264unige:27511	18	0	0	0	0	0	0	18	0	1	0	1	0	0	0	0	ThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèse	1	17	17
1897	unige:27228unige:27236unige:27243unige:27245unige:27248unige:27249unige:27251unige:27252unige:27255unige:27256unige:27257unige:27258unige:27259unige:27261unige:27262unige:27272	16	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	ThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèse	0	16	16
1898	unige:27277unige:27283unige:27288unige:27289unige:27290unige:27291unige:27293unige:27294unige:27296unige:27298unige:27299unige:27302unige:27303unige:27304unige:27351unige:157570	16	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	ThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseArticle scientifique	0	16	16
1899	unige:21424unige:27307unige:27308unige:27309unige:27321unige:27322unige:27323unige:27326unige:27328unige:27330unige:27331unige:27332unige:27334unige:27336unige:27340unige:27341unige:27342unige:27344unige:27345unige:27346unige:27349unige:27350unige:27352unige:110333unige:110334	25	0	0	2	0	0	0	23	0	0	0	0	0	0	0	0	Thèse de privat-docentThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseThèseArticle scientifiqueArticle scientifique	0	25	25
1900	unige:110335	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	0	1	1
1901	unige:110332unige:110907	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifique	0	2	2
1902	unige:106600unige:106601unige:106602unige:109089unige:109109unige:109199unige:109320unige:110190unige:110326unige:110909unige:111434	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	11	11
1903	unige:106597unige:109319unige:111389unige:111435unige:111659	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	5	5
1904	unige:27353unige:106592unige:106595unige:106596unige:109257unige:109323unige:109325unige:110905unige:111476	9	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre d'actes	0	9	9
1905	unige:106425unige:109201unige:109256unige:111423	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	4	4
1906	unige:108946unige:109250unige:110336unige:110906unige:111821	5	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifiqueChapitre d'actesArticle scientifiqueArticle professionnelChapitre d'actes	0	5	5
1907	unige:106424unige:109252unige:109539unige:111427	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueContribution à un dictionnaire / une encyclopédieArticle scientifique	0	4	4
1908	unige:109540unige:111424unige:111490	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre de livreArticle scientifiqueArticle scientifique	0	3	3
1909	unige:107478unige:111481unige:132608unige:154365	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle professionnelThèse de privat-docentLivre	0	4	4
1910	unige:110329unige:111425unige:111426unige:111503unige:120577	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	5	5
1911	unige:106675unige:108355unige:108680unige:109096unige:109204unige:109255unige:109327unige:111668unige:120578	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	9	9
1912	unige:106594unige:108877unige:108939unige:109085unige:109091unige:109203unige:109321unige:111473unige:111502unige:111504unige:111688unige:111879unige:150901unige:157487	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre d'actesArticle scientifiqueArticle scientifiqueArticle scientifiqueLivreArticle scientifiqueChapitre d'actes	0	14	14
1913	unige:107477unige:108679unige:109205unige:109206unige:109207unige:109254unige:109337unige:111475unige:111477	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueChapitre d'actesChapitre d'actes	0	9	9
1914	unige:106395unige:106432unige:108602unige:109110unige:109253unige:111660	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	6	6
1915	unige:106391unige:106430unige:106431unige:108882unige:108883unige:109080unige:109084unige:109545unige:150889unige:150904	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	10	10
1916	unige:101492unige:106593unige:108881unige:108940unige:150883	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	5	5
1917	unige:107485unige:109885unige:111506	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifique	0	3	3
1918	unige:106420unige:106429unige:106590	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle professionnel	0	3	3
1919	unige:101485unige:106427unige:106428unige:107793	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifique	0	4	4
1920	unige:106421unige:106587unige:106588unige:109193unige:109195unige:150887unige:150888unige:151036unige:151038	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	9	9
1921	unige:101489unige:106481unige:107641unige:109886unige:111662unige:150902	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	ThèseArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	6	6
1922	unige:106394unige:106589unige:109260unige:109261unige:109544unige:110902unige:110903unige:111432unige:111436unige:150803unige:150972	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueChapitre de livreChapitre de livreArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueChapitre d'actesChapitre d'actes	0	11	11
1923	unige:109191	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	0	1	1
1924	unige:169931unige:93535unige:109192	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	ThèseThèseArticle scientifique	0	3	3
1925	unige:111474unige:141570	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	Chapitre d'actesThèse	0	2	2
1926	unige:108869unige:109251	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre d'actesArticle professionnel	0	2	2
1927	unige:106617unige:107791unige:108337unige:108356unige:109328unige:109334unige:109810unige:110328unige:110337unige:111392unige:111478unige:111496unige:111497	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle professionnelArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifiqueArticle scientifique	0	13	13
