DATE	DATA	NOT DATA
2015.0	575.0	743.0
2016.0	1293.0	181.0
2017.0	1607.0	118.0
2018.0	1309.0	378.0
2019.0	156.0	1627.0
2020.0	150.0	1824.0
2021.0	856.0	1253.0
2022.0	87.0	1604.0
