id	856_3	856_f	856_u	856_x	856_z	DATA	DATA_TYPE	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER	type	856_domain	856_filetype
unige:151768	Supplemental data	jbmr4214-sup-0001-tables1.docx	https://archive-ouverte.unige.ch/download/5d81c1bf-0ba9-46b6-8091-6c33ae11508d	Restricted access	0	1	data supplements	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151768	Supplemental data	jbmr4214-sup-0002-tables2.docx	https://archive-ouverte.unige.ch/download/ec3ee27c-0590-4912-99c1-99d1d51d0de5	Restricted access	0	1	data supplements	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151771	Supplemental data	1-s2.0-S0195670120301286-mmc1.docx	https://archive-ouverte.unige.ch/download/694e4f45-4856-461d-ba68-46b4b58fd74f	Restricted access	0	1	data supplements	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151780	Supplemental data	41467_2021_21109_MOESM1_ESM.pdf	https://archive-ouverte.unige.ch/download/d0981881-c5f3-4652-ac70-ae650f8b6c8d	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151780	Supplemental data	41467_2021_21109_MOESM2_ESM.pdf	https://archive-ouverte.unige.ch/download/5f12119f-970d-4f83-840f-a963f3f53f9d	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151780	Supplemental data	41467_2021_21109_MOESM3_ESM-1.xlsx	https://archive-ouverte.unige.ch/download/573662b7-f0d5-4270-b479-e86736016bba	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM4_ESM.xlsx	https://archive-ouverte.unige.ch/download/3db7fef2-531e-4ce8-9e63-0db6de4a88c7	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM5_ESM.xlsx	https://archive-ouverte.unige.ch/download/9936b111-920f-4240-ba04-b8975339a01e	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM6_ESM.xlsx	https://archive-ouverte.unige.ch/download/02a0e9c2-2269-4b10-b57f-53917df0398b	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM7_ESM.xlsx	https://archive-ouverte.unige.ch/download/6c2d849e-b2d1-4cb7-a040-167664333b87	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM8_ESM.xlsx	https://archive-ouverte.unige.ch/download/ac1e834d-613f-45a3-8964-3e6b4bf183ac	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM9_ESM.xlsx	https://archive-ouverte.unige.ch/download/ef79172d-232c-40a5-ad94-05ff2c40dc84	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM10_ESM.xlsx	https://archive-ouverte.unige.ch/download/b059e22b-9c86-428d-ba1c-247dab9dbdc0	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM11_ESM.xlsx	https://archive-ouverte.unige.ch/download/d9b3f281-d930-46e5-b2e7-1e5bbcb16860	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM12_ESM.xlsx	https://archive-ouverte.unige.ch/download/49e11c9a-c707-4f92-9604-d0c3242c0b8f	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151780	Supplemental data	41467_2021_21109_MOESM14_ESM-1.xlsx	https://archive-ouverte.unige.ch/download/137a0744-b12f-4f8a-8859-40146df54b53	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151784	Supplemental data	42003_2019_667_MOESM1_ESM.pdf	https://archive-ouverte.unige.ch/download/c506c2ca-58d2-4cbe-ba75-11bb05256847	Public access	CC BY	1	data supplements	2019	1	1	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151784	Supplemental data	42003_2019_667_MOESM3_ESM.xlsx	https://archive-ouverte.unige.ch/download/b820689d-0e82-4bc4-8165-dddf69b908f7	Public access	CC BY	1	data supplements	2019	1	1	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151793	Appendix	330_2020_7572_MOESM1_ESM.docx	https://archive-ouverte.unige.ch/download/328a81c4-8429-4640-8a33-792509235590	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151803	Appendix	10334_2019_790_MOESM1_ESM.docx	https://archive-ouverte.unige.ch/download/257165a2-3f03-4b67-a765-db5e68805cc4	Public access	0	1	appendixes	2020	1	1	0	0	0	0	0	0	0	1	1	1	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151824	Supplemental data	jpd_2021_11-2_jpd-11-2-jpd202459_jpd-11-jpd202459-s001.pdf	https://archive-ouverte.unige.ch/download/9e9bb8cf-ebb6-4740-a936-e894efe46022	Public access	CC BY-NC	1	data supplements	2021	1	1	0	0	0	0	1	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151824	Supplemental data	jpd_2021_11-2_jpd-11-2-jpd202459_jpd-11-jpd202459-s002.xlsx	https://archive-ouverte.unige.ch/download/ada203d6-7eb9-458b-bc9e-855ee39267ef	Public access	CC BY-NC	1	data supplements	2021	1	1	0	0	0	0	1	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	XLSX
unige:151958	Supplemental data	ciaa1702_suppl_supplementary_materials_1.docx	https://archive-ouverte.unige.ch/download/3fc47393-2a67-4a36-a8be-804d3b6a5016	Public access	0	1	data supplements	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151958	Supplemental data	ciaa1702_suppl_supplementary_table_1.docx	https://archive-ouverte.unige.ch/download/9b2a5c1f-8bef-4782-a86d-bdaf109c3fd8	Public access	0	1	data supplements	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:151959	Supplemental data	am1c05049_si_001.pdf	https://archive-ouverte.unige.ch/download/7dc66d4c-05d0-4af9-9457-a97399683125	Restricted access	0	1	data supplements	2021	1	0	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151960	Supplemental data	gfaa381_supplementary_data.zip	https://archive-ouverte.unige.ch/download/4630e84b-aad8-497f-95fb-bd2e9ae1ed53	Public access	CC BY-NC	1	data supplements	2021	1	1	1	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	ZIP
unige:151996	Appendix	BFC20.Bouillon_David_Strasly_Spechbach_Appendix.pdf	https://archive-ouverte.unige.ch/download/88c151a4-35fc-457d-8d65-2a52ae46bbd2	Public access	OA OTHER	1	appendixes	2021	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre d'actes	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:151997	Appendix	BFC20_Liu_Ji_Bouillon_Appendix.pdf	https://archive-ouverte.unige.ch/download/31ed9741-3e67-4173-a48b-72d2d1dc734d	Public access	OA OTHER	1	appendixes	2021	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre d'actes	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152062	Appendix	1-s2.0-S2352827321001051-mmc1.docx	https://archive-ouverte.unige.ch/download/2ddd419e-6dc1-4385-a92f-4f164a8dd6dc	Public access	CC BY	1	appendixes	2021	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152083	Appendix	BfC2021_Norre_Bouillon_Gerlach_Spechbach_Appendices.pdf	https://archive-ouverte.unige.ch/download/9e60ca68-a56e-4e76-8503-c5c81724f333	Public access	0	1	appendixes	2021	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre d'actes	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152248	Supplemental data	glz116_suppl_supplementary_tables.docx	https://archive-ouverte.unige.ch/download/874f685f-bc26-4208-8755-fd3c6e672d28	Restricted access	0	1	data supplements	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152248	Appendix	glz116_suppl_supplementary_method.docx	https://archive-ouverte.unige.ch/download/1001d733-09e9-40d0-aa76-bbb9ef61214d	Restricted access	0	1	appendixes	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152249	Supplemental data	ScienceDirect_files_08Jun2021_17-54-11.623.zip	https://archive-ouverte.unige.ch/download/09e06dd0-86de-402d-a1be-a7b4996f1c91	Restricted access	0	1	data supplements	2020	1	1	0	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	ZIP
unige:152256	Appendix	vol_3.pdf	https://archive-ouverte.unige.ch/download/c3969953-b033-4ce4-9b20-2f96172b66b0	Restricted access	0	1	appendixes	2021	0	0	0	0	0	0	0	0	0	1	1	0	Thèse	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152307	Supplemental data	ja00040a086_si_001.pdf	https://archive-ouverte.unige.ch/download/792b61ad-a76b-4658-8499-a688bfc88f5b	Public access	0	1	data supplements	1992	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152318	Appendix	sj-pdf-1-ctn-10.1177_2514183X21999230.pdf	https://archive-ouverte.unige.ch/download/a4ddf78c-ed9b-4d5b-97c8-186ecf12840c	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152326	Appendix	11739_2020_2284_MOESM1_ESM.pdf	https://archive-ouverte.unige.ch/download/27aaf562-a204-444e-9463-2b30334dec52	Public access	0	1	appendixes	2020	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152329	Appendix	1-s2.0-S0091743518301531-mmc1.docx	https://archive-ouverte.unige.ch/download/7f458f3e-fa3f-4b3f-83a9-c6eefdbe7526	Restricted access	0	1	appendixes	2018	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152329	Appendix	1-s2.0-S0091743518301531-mmc2.docx	https://archive-ouverte.unige.ch/download/5c40caaf-8fa1-4d9e-98e8-5e1f755332af	Restricted access	0	1	appendixes	2018	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	DOCX
unige:152330	Appendix	jmir_v23i1e24594_app1-1.pdf	https://archive-ouverte.unige.ch/download/aabbedba-2a86-4b96-bf24-72f8aacbfad7	Public access	0	1	appendixes	2021	1	1	0	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152340	Supplemental data	Data.pdf	https://archive-ouverte.unige.ch/download/c8bfa16e-426b-4757-a880-6da79d0d95ab	Public access	CC BY	1	data supplements	2021	1	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152342	Supplemental data	jcm-10-01605-s001.pdf	https://archive-ouverte.unige.ch/download/73762778-e053-49f3-81d4-c4eba4cf531e	Public access	CC BY	1	data supplements	2021	1	1	1	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152351	Supplemental data	1-s2.0-S0223523421004116-mmc1.pdf	https://archive-ouverte.unige.ch/download/eca9ee86-f46b-412e-9a1b-0cca9535b11d	Public access	CC BY-NC-ND	1	data supplements	2021	1	0	1	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152352	Supplemental data	42003_2021_2258_MOESM1_ESM.pdf	https://archive-ouverte.unige.ch/download/8c5279b0-e53d-4c91-a627-c5b4fdbb37ee	Public access	CC BY	1	data supplements	2021	1	1	1	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
unige:152352	Supplemental data	42003_2021_2258_MOESM3_ESM.pdf	https://archive-ouverte.unige.ch/download/30602ab9-d7ce-468a-8d65-f0c17e20a27a	Public access	CC BY	1	data supplements	2021	1	1	1	0	0	0	0	0	0	0	0	0	Article scientifique	ARCHIVE-OUVERTE.UNIGE.CH	PDF
