id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type
unige:168290	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168305	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168308	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168310	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	Article scientifique
unige:168311	2021	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	Article scientifique
unige:168312	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168313	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168314	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168318	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168319	2022	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168340	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168341	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168345	2022	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	Article scientifique
unige:168349	2022	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	Article scientifique
unige:168378	2022	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168388	2022	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168389	2018	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	Article scientifique
unige:168398	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168402	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168403	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168404	2020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168405	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168407	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168410	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168413	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168414	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168415	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168416	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168417	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168418	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168419	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168420	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168421	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168422	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168423	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168424	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168425	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168426	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168427	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168428	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168437	2021	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168500	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique
unige:168505	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168520	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168521	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168522	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168523	2022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Livre
unige:168525	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168526	2021	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	Article scientifique
unige:168556	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168568	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168569	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168570	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168571	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168572	2021	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168574	2021	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	Article scientifique
unige:168575	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168582	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168663	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168694	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168695	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168696	2021	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168697	2021	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168698	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168699	2021	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	Article scientifique
unige:168700	2022	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	Article scientifique
unige:168701	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168702	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chapitre de livre
unige:168703	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168704	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168721	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168722	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168723	2019	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	Article scientifique
unige:168724	2021	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	Article scientifique
unige:168725	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique
unige:168726	2021	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168727	2019	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
unige:168728	2022	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique
