id	date	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	DATA	DATA_TYPE_appendixes	DATA_TYPE_data_supplements	DATA_TYPE_shared_data	FUNDER	FNS_FUNDER	EU_FUNDER	type	DOI	PMID	AOU	PUBMED	DATA_PUBMED	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
unige:119650	2019	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1371/JOURNAL.PONE.0208371	31181066	1	0	0	1	10.1371/JOURNAL.PONE.0208371	W2950337636	True	gold	2019	0
unige:146024	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1055/S-0039-1688410	31226716	1	0	0	1	10.1055/S-0039-1688410	W2951046824	False	closed	2019	0
unige:132610	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1097/OPX.0000000000001394	31274738	1	0	0	1	10.1097/OPX.0000000000001394	W2962289904	False	closed	2019	0
unige:126341	2020	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	Article scientifique	10.1016/J.JID.2019.05.026	31276679	1	0	0	1	10.1016/J.JID.2019.05.026	W2954470620	True	bronze	2020	0
unige:122779	2019	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.5414/NP301200	31296285	1	0	0	1	10.5414/NP301200	W2957739427	True	green	2019	0
unige:145481	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1111/JCE.14064	31310403	1	0	0	1	10.1111/JCE.14064	W2961541696	True	hybrid	2019	0
unige:122906	2019	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.3389/FMED.2019.00156	31334238	1	0	0	1	10.3389/FMED.2019.00156	W2954177613	True	gold	2019	0
unige:138715	2019	1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	Article scientifique	10.1162/NETN_A_00084	31410381	1	0	0	1	10.1162/NETN_A_00084	W2904291726	True	gold	2019	0
unige:146001	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.REHAB.2019.07.003	31421273	1	0	0	1	10.1016/J.REHAB.2019.07.003	W2967714988	True	hybrid	2020	0
unige:135702	2019	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Article scientifique	10.4300/JGME-D-18-00849	31428272	1	0	0	1	10.4300/JGME-D-18-00849	W2967932349	True	bronze	2019	0
unige:138512	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1016/J.NEUROBIOLAGING.2019.06.005	31437718	1	0	0	1	10.1016/J.NEUROBIOLAGING.2019.06.005	W2952873743	False	closed	2019	0
unige:145575	2020	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.18176/JIACI.0436	31530507	1	0	0	1	10.18176/JIACI.0436	W2974885958	True	gold	2020	0
unige:126927	2019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Article scientifique	10.1088/1361-6560/AB44F8	31530759	1	0	0	1	10.1088/1361-6560/AB44F8	W2974455229	True	hybrid	2019	0
unige:156917	2020	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	Article scientifique	10.1109/TMI.2019.2942765	31545714	1	0	0	1	10.1109/TMI.2019.2942765	W2977037476	False	closed	2020	0
